,Subject,Guessed-B,Questions-B,Questions-C,Guessed-C,Questions-S,Guessed-S
0,Helena_Bonham_Carter,Yes,16,13,Yes,12,Yes
1,Eileen_Atkins,Yes,11,11,Yes,11,Yes
2,Ellie_Kemper,No,20,20,No,18,Yes
3,Youth_in_Revolt_(film),Yes,18,18,Yes,18,Yes
4,Airport_(1970_film),No,20,20,No,20,No
5,Mozambique,Yes,14,14,Yes,13,Yes
6,Macalester_College,Yes,14,14,Yes,14,Yes
7,KLM,Yes,16,16,Yes,17,Yes
8,"Pensacola,_Florida",No,20,20,No,20,No
9,Telemundo,Yes,20,20,No,20,No
10,Quills,Yes,14,14,Yes,15,Yes
11,Bursaspor,No,20,20,No,13,Yes
12,Film_noir,Yes,11,13,Yes,13,Yes
13,"Natchez,_Mississippi",No,20,14,Yes,16,Yes
14,1960_Winter_Olympics,Yes,12,14,Yes,12,Yes
15,Spencer_Tracy,Yes,12,14,Yes,12,Yes
16,N._T._Rama_Rao,Yes,10,11,Yes,11,Yes
17,Porto,No,20,20,No,20,Yes
18,Peter_Capaldi,Yes,12,12,Yes,12,Yes
19,Ryanair,Yes,16,16,Yes,17,Yes
20,Jerry_Lewis,Yes,11,11,Yes,11,Yes
21,Richard_Edlund,Yes,19,20,Yes,20,Yes
22,"St_Catherine's_College,_Oxford",Yes,16,18,Yes,14,Yes
23,Method_Man,Yes,14,14,Yes,14,Yes
24,"California_State_University,_Los_Angeles",Yes,15,16,Yes,14,Yes
25,"Salem,_Massachusetts",Yes,20,20,No,15,Yes
26,Sarah_McLachlan,Yes,11,11,Yes,11,Yes
27,Los_Angeles_Chargers,Yes,12,13,Yes,12,Yes
28,Tak_Fujimoto,Yes,14,15,Yes,14,Yes
29,CD_Tenerife,No,20,20,No,20,No
30,Windsor_Castle,Yes,12,13,Yes,14,Yes
31,Chris_Noth,No,20,20,Yes,17,Yes
32,Multi-instrumentalist,No,20,17,Yes,17,Yes
33,Golden_Raspberry_Award_for_Worst_Screenplay,No,20,20,No,20,No
34,2K_(company),No,20,15,Yes,15,Yes
35,Inter_Milan,No,20,20,No,18,Yes
36,Battle_of_France,Yes,13,13,Yes,14,Yes
37,Jean_Louis,No,20,20,No,20,No
38,Storyboard_artist,No,20,20,No,20,No
39,Cleopatra_(1963_film),Yes,14,14,Yes,14,Yes
40,Toho,Yes,16,16,Yes,14,Yes
41,Dante_Spinotti,No,20,20,No,18,Yes
42,"Chatham_County,_Georgia",No,20,20,No,12,Yes
43,F.C._Ashdod,No,20,20,No,20,No
